id,visit,room,value,timepoint
14,0,bedroom,6,53
14,0,bedroom,6,54
14,0,bedroom,2.75,55
14,0,bedroom,2.75,56
14,0,bedroom,2.75,57
14,0,bedroom,2.75,58
14,0,bedroom,6,59
14,0,bedroom,6,60
14,0,bedroom,2.75,61
14,0,bedroom,2.75,62
14,0,bedroom,2.75,63
14,0,bedroom,2.75,64
14,0,bedroom,2.75,65
14,0,bedroom,2.75,66
14,0,bedroom,2.75,67
14,0,bedroom,2.75,68
14,0,bedroom,2.75,69
14,0,bedroom,2.75,70
14,0,bedroom,2.75,71
14,0,bedroom,2.75,72
14,0,bedroom,6,73
14,0,bedroom,2.75,74
14,0,bedroom,2.75,75
14,0,bedroom,2.75,76
14,0,bedroom,6,77
14,0,bedroom,2.75,78
14,0,bedroom,2.75,79
14,0,bedroom,2.75,80
14,0,bedroom,2.75,81
14,0,bedroom,2.75,82
14,0,bedroom,6,83
14,0,bedroom,2.75,84
14,0,bedroom,2.75,85
14,0,bedroom,2.75,86
14,0,bedroom,2.75,87
14,0,bedroom,6,88
14,0,bedroom,2.75,89
14,0,bedroom,2.75,90
14,0,bedroom,2.75,91
14,0,bedroom,2.75,92
14,0,bedroom,2.75,93
14,0,bedroom,2.75,94
14,0,bedroom,6,95
14,0,bedroom,2.75,96
14,0,bedroom,2.75,97
14,0,bedroom,2.75,98
14,0,bedroom,2.75,99
14,0,bedroom,2.75,100
14,0,bedroom,2.75,101
14,0,bedroom,2.75,102
14,0,bedroom,2.75,103
14,0,bedroom,2.75,104
14,0,bedroom,2.75,105
14,0,bedroom,6,106
14,0,bedroom,6,107
14,0,bedroom,2.75,108
14,0,bedroom,2.75,109
14,0,bedroom,2.75,110
14,0,bedroom,2.75,111
14,0,bedroom,7,112
14,0,bedroom,9,113
14,0,bedroom,2.75,114
14,0,bedroom,6,115
14,0,bedroom,2.75,116
14,0,bedroom,6,117
14,0,bedroom,6,118
14,0,bedroom,6,119
14,0,bedroom,2.75,120
14,0,bedroom,2.75,121
14,0,bedroom,2.75,122
14,0,bedroom,2.75,123
14,0,bedroom,6,124
14,0,bedroom,6,125
14,0,bedroom,2.75,126
14,0,bedroom,2.75,127
14,0,bedroom,2.75,128
14,0,bedroom,6,129
14,0,bedroom,6,130
14,0,bedroom,6,131
14,0,bedroom,6,132
14,0,bedroom,2.75,133
14,0,bedroom,6,134
14,0,bedroom,6,135
14,0,bedroom,6,136
14,0,bedroom,6,137
14,0,bedroom,6,138
14,0,bedroom,6,139
14,0,bedroom,6,140
14,0,bedroom,6,141
14,0,bedroom,6,142
14,0,bedroom,6,143
14,0,bedroom,6,144
14,0,bedroom,2.75,145
14,0,bedroom,6,146
14,0,bedroom,6,147
14,0,bedroom,6,148
14,0,bedroom,8,149
14,0,bedroom,7,150
14,0,bedroom,11,151
14,0,bedroom,2.75,152
